,password,2-gram,3-gram,4-gram,5-gram,Backoff,PCFG
0,Ca9!LM3-7@8-$7-,67.5784620022835,60.26518780692557,46.87386720833843,26.357676811534184,61.12139957255445,60.768435420738435
1,Wb7_AO$m92M79$e,79.04732369635802,69.74203939595981,43.51094163709299,15.2161919654549,73.84839278894057,70.29355521922794
2,Av4@-u_6F3P$_vK,77.02030163188017,73.65231017594908,41.90070191110784,17.63411440699953,78.78310779037042,69.01709959004346
3,sG2-C@8@9$28!zR,69.86211454332408,66.94284918959816,46.80744129510472,25.367992271040414,63.06377292720715,62.96943588062444
4,pM9-_3ku7t8_I-$,76.23488662089667,65.32013416520259,42.4485437819055,20.879018579362416,74.9067756950152,68.69370406507788
5,Hq4-5qY-7_T-$7-,70.14018820927532,63.8395173231227,48.70931853655236,20.029703176640442,67.39947665490716,62.217345640575836
6,Js6!L!A5@!iY2_k,75.0272181092758,69.89366120669217,48.26346153941626,15.856068809321416,79.16333099681685,69.65622944400032
7,lE2@$8E_4$59_-Q,70.01697406224079,64.89279446616871,65.64149048300229,32.50174023870228,66.59233318810915,61.98994235716953
8,nS3@2$!7-_Nr-7u,70.86453610656243,67.28160015637751,55.689662974887796,28.778602584699566,70.05304233220147,64.74965186893891
9,tL4$l5_3-Zt2_7W,72.64433421721404,67.73708934865446,61.94494760174609,27.413625764008028,76.57198104944263,70.2078372181634
10,mG5!7-_j8$97$_3,64.60234193187036,59.79985335385659,65.94716344449773,34.894097586764026,62.30812031985049,55.204011295127934
11,Oq6@5BX!A!$G8@Y,76.79651636766562,68.87156642437363,58.923291346708154,19.823669233066543,77.93486233444942,69.93446740299542
12,fW7@W8$@8Ri@$73,70.98158191528768,68.28828379028946,55.54671448993792,26.170278554400692,73.84839278894057,63.426307636904966
13,Fz2_9q-Z!_82@-7,70.06940508285352,65.08315964086556,56.625326945667226,32.469738807602695,65.28160788057997,58.72277840641354
14,Pr2!iR!y6XY_3L7,82.12935506462169,83.47847209109119,38.440798715372026,21.332518848401527,97.01456544658409,72.90307804683
15,Sq8@U4$Y-!6$_7-,66.37076787892975,63.83209549915912,56.99626699663287,32.38639294721836,61.064493237514064,59.77030635216505
16,zI3!db49!i-39$3,74.07841360736198,70.2704783559304,56.094170454581466,21.633881669266945,75.28732573375078,67.46596829027678
17,kV9!QZ2RY6$8@-2,75.45935114551146,72.00217438270002,45.63410638309475,26.94287311799448,77.35125319152718,71.79749950212924
18,Gm3@f82$Q7-G-@j,73.90491564077757,70.1431411925568,66.7371593171668,19.823669233066543,69.19533431283568,68.09964275533795
19,vL4!7U59E$2K$49,75.428012274591,68.2190730438409,57.15363865575821,22.369243785331786,67.35702741594277,67.09341551160846
20,Tm6-2ek@39$@PQ$,77.93320857555135,70.44832633844152,53.209952413498236,24.892779720800426,80.02299080952977,68.31100288479526
21,vZ5_5$_68_!4A-$,65.83606269272215,58.793518665487206,53.61171916707878,40.09522416414974,55.66698630937862,55.16515047841459
22,Ud2-M3@7-8$!P-5,67.00721791402457,62.94274077083862,67.65238286866693,31.502202867278797,69.2575119518799,60.431698732097935
23,wB9@2S26-2-Bl@7,71.29831417254685,73.0803048121491,59.961105609027676,21.575966352281295,74.9067756950152,66.21994680561386
24,Gz8!U46$lN_6_7v,74.57431564018324,74.94989205713753,61.25869202444636,18.782932732078272,78.90444496382972,69.02433164342405
25,vT6_8!29N$9e_V9,72.77962913188328,69.65285010946707,56.464264737205696,25.052560660749048,71.8913587287312,65.98350578017892
26,uZ4_w7y$@F7$-q_,73.6692740883928,67.94981475104862,64.72131492071277,17.91272492389137,68.94513940387402,67.6616865019454
27,Db3!o_!nK-3!$8!,69.69950647653543,69.5906487919537,51.868154035559094,26.388198013959954,72.60410583719876,63.973006306898846
28,Xe6!U5H@y6_Wn_c,79.76877647245082,80.84351697145709,45.191245825291944,17.53949348105281,85.40036346270094,72.37529731813888
29,Dg6@!95-TC@8U4-,73.06097531489705,64.49545437330606,54.85196857745098,31.559229978210567,67.56072407234892,65.1940603987589
30,Zu4!5-_9@_qO6$7,67.36058818134256,65.39413880280043,53.50764975610883,32.666084504920335,66.19448413488911,61.764084548833836
31,Su9_O!ga-j!lr9F,85.13059247375024,78.0601887859745,43.51940204146216,12.580612196884891,86.00658266584458,74.39387014307584
32,Zq9-@y@4i2-!28a,73.65998845161967,67.07583423085903,63.26510032880018,26.209538673564715,66.45582580965909,64.51813646253528
33,zN7!9_r$!h37@3d,72.94771758552889,69.26260274977012,63.21841107273095,26.374308440236252,72.00070253227449,66.91448116919995
34,lN2@-64n_B4$E!7,73.51546481676726,65.28733696104209,57.272117654038844,26.51715757581073,64.9892926278713,66.61795795349369
35,Hw3!-tn@5tw$!sG,81.19623451309171,77.96158077257276,48.941958148653015,16.985394196679938,86.55712569596875,72.88242387543053
36,vP4!G-5YN5$9@48,72.24427644933989,68.19303692795972,52.37139572522948,27.463950103763686,66.22766987850805,65.60230034139256
37,Aj2@!7_@9$8-_9$,60.29249284973872,57.0448407416634,58.5510718284042,40.464403376258524,52.33675539426463,47.85929076042686
38,Lc8!g$j9Wp!f-3@,76.7068253717817,77.76641685715828,47.60091308125572,18.614070240549403,84.1334296415806,69.36636650368973
39,Hz7@$4!-5-Z!u-5,67.85286111479314,61.73719271324525,58.95904772819648,35.72465176347437,65.25014371410352,56.905471047211485
40,oV6-8r_SK5$_a94,75.3139104712655,71.12317276872596,52.58080795050879,21.226129279741908,79.9650381096152,67.45620894471733
41,Ni9@94$2E24@_h_,69.4762676204692,64.28497655229141,58.732379417680775,29.227919190271976,65.04630404337017,58.958810903774
