,password,2-gram,3-gram,4-gram,5-gram,Backoff,PCFG
0,Ca9!LM3-7@8-$7-,67.3702297777938,60.22310996907016,46.91162186594033,26.44397805932975,61.07810727942461,60.74340366699365
1,Wb7_AO$m92M79$e,78.87785263831786,69.89656628460493,43.66227991649918,15.192907326317448,73.59133356156062,70.31932417033548
2,Av4@-u_6F3P$_vK,77.03467556581421,73.61358003929027,41.89760925547424,17.593224106299065,78.74408356399239,69.04008929146681
3,sG2-C@8@9$28!zR,69.67457859014853,67.0283174630534,46.78407886668583,25.40897704785245,63.159826726507404,62.9667007336793
4,pM9-_3ku7t8_I-$,76.28997278910518,65.38021635344866,42.53194621043445,20.839178479397006,74.6667836502917,68.724917778129
5,Hq4-5qY-7_T-$7-,70.07065115320349,63.882205736432695,48.74239026911255,20.042539070778673,67.39510054135661,62.2419762367246
6,Js6!L!A5@!iY2_k,75.04198224510476,70.0650583576234,48.270233074268575,15.8478554251435,79.13072186197004,69.68232674654882
7,lE2@$8E_4$59_-Q,69.90176420492566,65.07060945294555,65.66508074809958,32.65730628242258,66.53234388495713,61.999197781946485
8,nS3@2$!7-_Nr-7u,70.9407946323101,67.39449514938664,55.73334032054943,28.683002998825515,70.24984009061403,64.76856403167359
9,tL4$l5_3-Zt2_7W,72.44343758347375,67.91289536411055,61.789992101150894,27.495227619107947,76.60876673050986,70.21333227573972
10,mG5!7-_j8$97$_3,64.74113333837086,59.772304216037746,65.89284169392914,34.85629123362642,62.17178341783644,55.234118357560845
11,Oq6@5BX!A!$G8@Y,76.9430274266282,69.05602084960849,58.788197245813144,19.83752146979118,77.87470717930613,69.93755379574044
12,fW7@W8$@8Ri@$73,71.08687818970391,68.43397245430303,55.55292128697857,26.212091970764398,73.59133356156062,63.40068396415084
13,Fz2_9q-Z!_82@-7,69.95810210680538,65.17672799569105,56.572956525785976,32.59941358927275,65.37813498209633,58.68040517848133
14,Pr2!iR!y6XY_3L7,82.01505493022236,83.52217554092367,38.454253528547426,21.33612792966843,96.80871211767926,72.92438917097539
15,Sq8@U4$Y-!6$_7-,66.42487520555595,63.83893797345802,56.924632895899975,32.51303130397749,61.03442788051057,59.700191579404894
16,zI3!db49!i-39$3,74.02993140461466,70.33319270205185,56.021622015587575,21.638174417530767,75.03201938735283,67.48061258501657
17,kV9!QZ2RY6$8@-2,75.56836304634366,72.05983714251279,45.58594628400598,27.003686514587056,77.32434341817532,71.7731419463975
18,Gm3@f82$Q7-G-@j,73.79153596723651,70.20217788967082,66.7466885249416,19.83752146979118,69.2781394172664,68.10850452155454
19,vL4!7U59E$2K$49,75.51975912946352,68.31225566679572,57.08027060719258,22.405534908348493,67.36958350661699,67.10162197122136
20,Tm6-2ek@39$@PQ$,78.00383833376846,70.51139524825545,53.29030137589597,24.97170412330762,80.00372302440549,68.32402434734685
21,vZ5_5$_68_!4A-$,65.82988383012884,58.93462863889384,53.69655673036937,39.85295864910159,55.662610959247566,55.215236660073536
22,Ud2-M3@7-8$!P-5,66.87094339119005,62.85997355880862,67.51022225559677,31.647995142886717,69.32898039926869,60.44285146728767
23,wB9@2S26-2-Bl@7,71.44419722853284,73.12592966971394,59.8081329720849,21.57802627557006,74.6667836502917,66.20119006827584
24,Gz8!U46$lN_6_7v,74.53433509371126,74.95622114082417,61.16976047064781,18.777337390400827,78.90867711218296,69.04666334982488
25,vT6_8!29N$9e_V9,72.60880406098484,69.7919188064167,56.374547532239994,25.08327817760997,71.88419801542992,65.9691764787325
26,uZ4_w7y$@F7$-q_,73.57700025297552,68.09238802938889,64.62147227668859,17.894562902990405,69.02264963506593,67.67412619875839
27,Db3!o_!nK-3!$8!,69.54153618231513,69.68458597473573,51.96406618989551,26.470008231123394,72.60776035602449,63.99125412757904
28,Xe6!U5H@y6_Wn_c,79.56541539349115,80.81663079538956,45.21493073799622,17.499670022511353,85.39426780098086,72.33233753036477
29,Dg6@!95-TC@8U4-,72.91006389652671,64.58598206060833,54.83085329922614,31.714350264271022,67.68681146219977,65.2205531776841
30,Zu4!5-_9@_qO6$7,67.24575278740949,65.48217911968672,53.59915638333225,32.824923598048144,66.21468388412727,61.772517152064104
31,Su9_O!ga-j!lr9F,85.19036001591277,77.8897846255677,43.68505103597307,12.576020880522314,86.04173314693892,74.32661350185006
32,Zq9-@y@4i2-!28a,73.56709208070599,67.19172850426708,63.04257567474083,26.24521627037425,66.44232702166673,64.5333290778422
33,zN7!9_r$!h37@3d,72.69938920464946,69.38306018584241,62.97184741895028,26.467386752204746,71.95916235527848,66.92083169931325
34,lN2@-64n_B4$E!7,73.34019502592942,65.34080003135342,57.22696715265584,26.6207967620089,65.06027768475423,66.59257748757405
35,Hw3!-tn@5tw$!sG,81.27895601196903,77.81283990444744,48.93146755638871,16.961936498143093,86.49379994222554,72.90396012172577
36,vP4!G-5YN5$9@48,72.20407896553432,68.27949472567519,52.46353273693754,27.576374274164955,66.24714784216648,65.60312894732516
37,Aj2@!7_@9$8-_9$,60.29449625767991,57.13470444690256,58.3921605660332,40.489779561965904,52.44367571028321,48.42006223902951
38,Lc8!g$j9Wp!f-3@,76.87313301029698,77.58908008617766,47.661791446438045,18.59459347414735,84.15224125613867,69.3982318112593
39,Hz7@$4!-5-Z!u-5,67.70213502599552,61.70894283935891,58.80791111222871,35.561900653559356,65.348832226413,56.99258649832686
40,oV6-8r_SK5$_a94,75.41206597249,71.21061488014722,52.64198014481166,21.222812809204015,79.85332138364066,67.47310145926089
41,Ni9@94$2E24@_h_,69.33154083622186,64.38894702155952,58.64630178463524,29.258821542516763,65.10701506584098,58.94944254225404
42,nG4!K-YJ!7o2@U4,77.99326034905938,73.85332986345256,53.46104582940741,19.00224879096044,82.48025910528821,72.56854350845768
43,Cu3!_4c-_AE@s-4,76.55807669171394,70.44005089658768,52.77975224829689,23.525284921548945,75.77107191816141,69.47726783868617
44,pQ8$!24v3M_5!i$,72.34709542044068,70.56557577140242,59.57840129828269,25.231174730826822,78.57054643471695,64.79185614953201
45,Hx9$7xg-27$2!@J,72.48532632159466,61.87891866891508,63.278402226447085,25.22295326180178,66.78810613717548,66.33185452310896
46,Ys9@8!7T_T-$Oa5,73.4095916281102,67.65606975052278,58.07720717239794,26.509563165822392,70.73987488034312,68.15329612750736
47,Sm2-VE-t2w$V$3E,82.00331026115994,74.74432043822789,38.97758246899341,13.94786305331366,82.03827727077987,72.41481094354255
48,uD3$_H$G9-f@_k4,74.17565969089296,71.11234966522608,50.91128261746867,18.845583978481955,68.52251135857648,67.91999643404012
49,Sq5$_O$@62f$-c-,72.33663460064676,62.65494547455289,54.97187358169284,23.35598013260969,63.560108518413074,61.49206334210652
50,Ez6-2o$-kF5$2_4,70.14896483510806,64.15937008285609,49.34442523286948,26.472633321171664,62.25694024893104,63.253149308458305
51,Eo4$!7X-84Wk5Y$,76.38434831468386,68.32037460631803,45.72265279493949,20.0033899152175,71.95916235527848,65.85254670920217
52,eA3$Jq7K_D_86u8,77.97236168611586,73.51103200831852,45.978454682244355,11.86508851000438,78.50941551508012,69.62583918325835
53,Bz2!4_2Ni-_3bX7,73.04607264251045,71.81218553138211,48.297351592012845,20.64826944952403,79.16283636351756,66.5199492927221
54,Bp2!2ru!2_8@OG!,74.90933857329927,67.21518209004383,53.207766079576984,18.8826571820389,83.18873097151786,69.70992410031916
55,eO2$4@8@x_Q8!8-,65.63342282115613,63.329344419768255,53.70171504251803,26.34742624301697,63.08657402926559,61.8373541406669
56,Zy2-q_9r2s5a@a!,78.92427953993591,73.46463854770887,43.86925735779597,15.532267898212654,79.58337168393324,70.70423260414127
57,Sm2-VE-t2w$V$3E,82.00331026115994,74.74432043822789,38.97758246899341,13.94786305331366,82.03827727077987,72.41481094354255
58,uD3$_H$G9-f@_k4,74.17565969089296,71.11234966522608,50.91128261746867,18.845583978481955,68.52251135857648,67.91999643404012
59,Sq5$_O$@62f$-c-,72.33663460064676,62.65494547455289,54.97187358169284,23.35598013260969,63.560108518413074,61.49206334210652
60,Ez6-2o$-kF5$2_4,70.14896483510806,64.15937008285609,49.34442523286948,26.472633321171664,62.25694024893104,63.253149308458305
61,Eo4$!7X-84Wk5Y$,76.38434831468386,68.32037460631803,45.72265279493949,20.0033899152175,71.95916235527848,65.85254670920217
62,eA3$Jq7K_D_86u8,77.97236168611586,73.51103200831852,45.978454682244355,11.86508851000438,78.50941551508012,69.62583918325835
63,Bz2!4_2Ni-_3bX7,73.04607264251045,71.81218553138211,48.297351592012845,20.64826944952403,79.16283636351756,66.5199492927221
64,Bp2!2ru!2_8@OG!,74.90933857329927,67.21518209004383,53.207766079576984,18.8826571820389,83.18873097151786,69.70992410031916
65,eO2$4@8@x_Q8!8-,65.63342282115613,63.329344419768255,53.70171504251803,26.34742624301697,63.08657402926559,61.8373541406669
